"Slot","Name","Cid","Role","FireX","FireZ","CharacterX","CharacterZ","FacingRelativeDegrees","FormationPoint"
"1","Garrison Mangler@Sargatanas","18014498545172021","Tip","-0","6","-0","5","0","2"
"2","Boo Mangler@Sargatanas","18014498563678948","Tip","-5.706339","1.854102","-5.706339","0.8541019999999999","0","3"
"3","Giovanni Mangler@Sargatanas","18014498563154967","Tip","-3.526712","-4.854102","-3.526712","-5.854102","0","4"
"4","Bertucci Mangler@Sargatanas","18014498563665055","Tip","3.526712","-4.854102","3.526712","-5.854102","0","5"
"5","Sarducci Mangler@Sargatanas","18014498563667141","Tip","5.706339","1.854102","5.706339","0.8541019999999999","0","6"
"6","Achenarius Mangler@Sargatanas","18014498563676673","Intersection","-1.347084","1.854102","-1.347084","0.8541019999999999","0","7"
"7","Maltheusen Mangler@Sargatanas","18014498563880622","Intersection","-2.179628","-0.708204","-2.179628","-1.7082039999999998","0","8"
"8","Walter Mangler@Sargatanas","18014498563975016","Intersection","-0","-2.291796","-0","-3.291796","0","9"
"9","Wind-up Garrison@Sargatanas","18014498567996160","Intersection","2.179628","-0.708204","2.179628","-1.7082039999999998","0","10"
"10","Annabelle Mangler@Sargatanas","18014498564936865","Intersection","1.347084","1.854102","1.347084","0.8541019999999999","0","11"
"11","Brittany Mangler@Sargatanas","18014498570473149","Line","-0.449028","4.618034","-0.449028","3.6180339999999998","0","12"
"12","Kimberly Mangler@Sargatanas","18014498570473433","Line","-0.898056","3.236068","-0.898056","2.236068","0","13"
"13","Rebecca Mangler@Sargatanas","18014498567553281","Line","-2.628656","-2.09017","-2.628656","-3.09017","0","14"
"14","Roberto Mangler@Sargatanas","18014498572667643","Line","-3.077684","-3.472136","-3.077684","-4.472136","0","15"
"15","Thaddeus Mangler@Sargatanas","18014498576354403","Line","-2.351141","-4","-2.351141","-5","0","16"
"16","Vivian Mangler@Sargatanas","18014498567531790","Line","-1.175571","-3.145898","-1.175571","-4.145898","0","17"
"17","Artemis Potato@Sargatanas","18014498564173337","Line","3.355198","0.145898","3.355198","-0.854102","0","18"
"18","Hermes Potato@Sargatanas","18014498571136757","Line","4.530769","1","4.530769","0","0","19"
"19","Athena Potato@Sargatanas","18014498571153678","Line","4.253254","1.854102","4.253254","0.8541019999999999","0","20"
"20","Gaia Potato@Sargatanas","18014498571161831","Line","2.800169","1.854102","2.800169","0.8541019999999999","0","21"
"21","Nyx Potato@Sargatanas","18014498571153779","Line","-2.800169","1.854102","-2.800169","0.8541019999999999","0","22"
"22","Apollo Potato@Sargatanas","18014498571146002","Line","-4.253254","1.854102","-4.253254","0.8541019999999999","0","23"
"23","Hephaestus Potato@Sargatanas","18014498571136822","Line","-4.530769","1","-4.530769","0","0","24"
"24","Poseidon Potato@Sargatanas","18014498571145699","Line","-3.355198","0.145898","-3.355198","-0.854102","0","25"
"25","Kazuko Aura@Sargatanas","18014498573073575","Line","1.175571","-3.145898","1.175571","-4.145898","0","26"
"26","Barnabus Mangler@Sargatanas","18014498576354931","Line","2.351141","-4","2.351141","-5","0","27"
"27","Cassandra Mangler@Sargatanas","18014498578296334","Line","3.077684","-3.472136","3.077684","-4.472136","0","28"
"28","Ellis Mangler@Sargatanas","18014498578296489","Line","2.628656","-2.09017","2.628656","-3.09017","0","29"
"29","Amelia Mangler@Sargatanas","18014498578305144","Line","0.898056","3.236068","0.898056","2.236068","0","30"
"30","Madeline Mangler@Sargatanas","18014498578447585","Line","0.449028","4.618034","0.449028","3.6180339999999998","0","31"
"31","Sabrina Mangler@Sargatanas","18014498578447641","Inner line","-1.763356","0.572949","-1.763356","-0.42705099999999996","0","32"
"32","Martin Mangler@Sargatanas","18014498578454220","Inner line","1.763356","0.572949","1.763356","-0.42705099999999996","0","33"
