"Slot","Name","Cid","Role","Carbuncle","Color","Start"
"1","Garrison Mangler@Sargatanas","18014498545172021","Outer circle","Emerald","Blue","2"
"2","Boo Mangler@Sargatanas","18014498563678948","Outer circle","Emerald","Blue","6"
"3","Giovanni Mangler@Sargatanas","18014498563154967","Outer circle","Emerald","Blue","10"
"4","Bertucci Mangler@Sargatanas","18014498563665055","Outer circle","Emerald","Blue","14"
"5","Sarducci Mangler@Sargatanas","18014498563667141","Outer circle","Emerald","Blue","18"
"6","Achenarius Mangler@Sargatanas","18014498563676673","Outer circle","Emerald","Blue","22"
"7","Maltheusen Mangler@Sargatanas","18014498563880622","Outer circle","Emerald","Blue","26"
"8","Walter Mangler@Sargatanas","18014498563975016","Outer circle","Emerald","Blue","30"
"9","Wind-up Garrison@Sargatanas","18014498567996160","Outer circle","Emerald","Blue","34"
"10","Annabelle Mangler@Sargatanas","18014498564936865","Outer circle","Emerald","Blue","38"
"11","Brittany Mangler@Sargatanas","18014498570473149","Outer circle","Emerald","Blue","42"
"12","Kimberly Mangler@Sargatanas","18014498570473433","Outer circle","Emerald","Blue","46"
"13","Rebecca Mangler@Sargatanas","18014498567553281","Moving star","Topaz","Yellow","2"
"14","Roberto Mangler@Sargatanas","18014498572667643","Moving star","Topaz","Yellow","6"
"15","Thaddeus Mangler@Sargatanas","18014498576354403","Moving star","Topaz","Yellow","10"
"16","Vivian Mangler@Sargatanas","18014498567531790","Moving star","Topaz","Yellow","14"
"17","Artemis Potato@Sargatanas","18014498564173337","Moving star","Topaz","Yellow","18"
"18","Hermes Potato@Sargatanas","18014498571136757","Moving star","Topaz","Yellow","22"
"19","Athena Potato@Sargatanas","18014498571153678","Moving star","Topaz","Yellow","26"
"20","Gaia Potato@Sargatanas","18014498571161831","Moving star","Topaz","Yellow","30"
"21","Nyx Potato@Sargatanas","18014498571153779","Moving star","Topaz","Yellow","34"
"22","Apollo Potato@Sargatanas","18014498571146002","Moving star","Topaz","Yellow","38"
"23","Hephaestus Potato@Sargatanas","18014498571136822","Moving star","Topaz","Yellow","42"
"24","Poseidon Potato@Sargatanas","18014498571145699","Moving star","Topaz","Yellow","46"
"25","Kazuko Aura@Sargatanas","18014498573073575","Moving star","Topaz","Yellow","50"
"26","Barnabus Mangler@Sargatanas","18014498576354931","Moving star","Topaz","Yellow","54"
"27","Cassandra Mangler@Sargatanas","18014498578296334","Moving star","Topaz","Yellow","58"
"28","Ellis Mangler@Sargatanas","18014498578296489","Stationary tip","Ruby","Red","0"
"29","Amelia Mangler@Sargatanas","18014498578305144","Stationary tip","Ruby","Red","1"
"30","Madeline Mangler@Sargatanas","18014498578447585","Stationary tip","Ruby","Red","2"
"31","Sabrina Mangler@Sargatanas","18014498578447641","Stationary tip","Ruby","Red","3"
"32","Martin Mangler@Sargatanas","18014498578454220","Stationary tip","Ruby","Red","4"
